origin_zip,destination_zip,customer_name
99701,15222,Cascade Pets Co.
11201,88203,Cobalt Goods Holdings
17602,94596,River Electrics Group
06810,06510,Atlas Marine Co.
11530,39759,Canyon Apparel Inc.
57401,52401,Acme Athletics Holdings
92701,71901,Summit Trading LLC
57701,21044,Echo Supply Inc.
11530,74401,Summit Pharma LLC
08608,84101,Cascade Automotive Co.
06810,60611,Bluebird Retail Holdings
74401,85281,Vertex Marine Partners
20007,54911,Vertex Apparel Group
99201,95112,Orbit Coffee Inc.
82601,53140,Quantum Office LLC
31401,80202,Polar Beverage Co.
83401,83001,Sable Labs Inc.
57401,33602,Northstar Textiles Holdings
02108,96813,Nimbus Logistics LLC
83001,32202,Aurora Aviation Partners
89101,25301,Cedar Toys Group
20001,12207,Summit Home Ltd.
36602,20003,Sierra Health Co.
37604,88001,Summit Apparel Co.
05001,98501,Acme Labs LLC
89501,07102,Sierra Logistics Group
43232,10013,Evergreen Coffee Co.
42101,72901,Apex Coffee Inc.
88203,75201,Aurora Supply LLC
60601,67202,River Kitchen Co.
92101,85281,Canyon Hardware Holdings
95814,44114,Atlas Office Holdings
75201,70802,Nimbus Supply Co.
20740,82601,Quantum Trading Partners
98052,59101,Atlas Aviation Co.
69101,70802,Mercury Automotive LLC
52401,46601,Solstice Brands Inc.
98660,55401,Neon Labs Co.
55802,32801,Quantum Pharma Ltd.
72201,02903,Neon Beauty Holdings
08608,55110,Lumen Supply Inc.
53703,52401,Sierra Foods Holdings
85281,44114,Bluebird Beauty Group
02139,78045,Sable Automotive Holdings
83401,26101,Solstice Kitchen Co.
81601,20910,Evergreen Automotive Ltd.
74074,44114,Canyon Textiles Co.
16501,63017,Harbor Pets Group
91340,20001,Solstice Beauty Inc.
72701,35203,Atlas Hardware Ltd.
98052,03801,Canyon Beverage Inc.
58102,87501,Atlas Trading Co.
69101,05602,Cedar Hardware Inc.
80524,96813,Sierra Energy Ltd.
59601,06810,Evergreen Office Holdings
